timestamp,ftm,fta
2025-12-04T15:49:57.161614,122,189
2025-12-06T14:14:19.724964,133,211
2025-12-14T17:04:07.160129,145,232
2025-12-19T17:05:04.908396,159,252
2025-12-23T17:05:28.495679,170,267
2025-12-31T17:04:16.745621,176,276
2026-01-04T17:04:12.017421,188,292
2026-01-07T17:07:34.950519,192,301
2026-01-12T17:07:16.807463,197,309
2026-01-15T17:11:02.168787,221,344
2026-01-18T17:03:53.974820,230,356
2026-01-22T17:09:09.418640,243,370
2026-01-26T17:09:35.717957,253,385
2026-01-29T17:13:45.092927,264,399
2026-02-02T17:15:28.052118,272,412
2026-02-06T17:16:23.710153,279,421
